train_id,source,destination,travel_class,quota,current_wl,days_to_journey,day_of_week,is_weekend,historical_confirmation_rate,historical_cancellation_rate,confirmed
12839,Howrah,Chennai,CC,TQ,43,8,4,0,0.66,0.33,0
12621,Chennai,New Delhi,3A,GN,24,12,5,1,0.731,0.139,0
12008,Bengaluru,Chennai,SL,GN,49,27,2,0,0.727,0.172,1
12622,New Delhi,Chennai,2A,TQ,57,3,4,0,0.764,0.099,0
12622,New Delhi,Chennai,3A,GN,9,26,4,0,0.705,0.126,1
12952,Delhi,Mumbai,CC,GN,4,2,5,1,0.817,0.374,0
12951,Mumbai,Delhi,CC,TQ,36,14,6,1,0.679,0.069,0
12622,New Delhi,Chennai,SL,GN,15,13,0,0,0.886,0.177,1
12839,Howrah,Chennai,2A,GN,8,3,2,0,0.696,0.158,0
12839,Howrah,Chennai,3A,GN,35,12,5,1,0.89,0.175,1
12952,Delhi,Mumbai,SL,GN,14,7,2,0,0.518,0.238,0
12008,Bengaluru,Chennai,SL,GN,45,15,2,0,0.884,0.294,1
12008,Bengaluru,Chennai,SL,GN,28,28,3,0,0.917,0.192,1
12008,Bengaluru,Chennai,SL,GN,41,3,6,1,0.747,0.189,0
12951,Mumbai,Delhi,CC,GN,59,22,0,0,0.714,0.17,0
12007,Chennai,Bengaluru,SL,TQ,59,17,1,0,0.675,0.134,0
12621,Chennai,New Delhi,3A,GN,44,26,5,1,0.857,0.1,0
12622,New Delhi,Chennai,3A,GN,11,16,0,0,0.689,0.182,0
12622,New Delhi,Chennai,2A,GN,26,3,6,1,0.845,0.094,1
12952,Delhi,Mumbai,2A,GN,25,18,6,1,0.935,0.311,1
12840,Chennai,Howrah,SL,GN,49,2,0,0,0.806,0.235,1
12840,Chennai,Howrah,3A,GN,24,20,2,0,0.693,0.24,0
12952,Delhi,Mumbai,SL,GN,46,18,1,0,0.885,0.273,0
12622,New Delhi,Chennai,CC,GN,7,3,0,0,0.859,0.209,1
12008,Bengaluru,Chennai,3A,GN,38,13,2,0,0.808,0.238,0
12007,Chennai,Bengaluru,CC,GN,19,4,2,0,0.789,0.179,1
12622,New Delhi,Chennai,SL,TQ,29,17,5,1,0.735,0.234,0
